node,degree,strength,betweenness,closeness,eigenvector,community
黛玉,21,158,1.0,1.0,0.707103244845775,0
寶玉,1,74,0.0,0.5121951219512195,0.663580377229525,0
林如海,1,4,0.0,0.5121951219512195,0.03586920957997432,0
賈母,1,12,0.0,0.5121951219512195,0.10760762873992295,0
賈璉,1,6,0.0,0.5121951219512195,0.05380381436996148,0
鳳姐,1,10,0.0,0.5121951219512195,0.0896730239499358,0
平兒,1,1,0.0,0.5121951219512195,0.00896730239499358,0
秦氏,1,1,0.0,0.5121951219512195,0.00896730239499358,0
襲人,1,5,0.0,0.5121951219512195,0.0448365119749679,0
王夫人,1,3,0.0,0.5121951219512195,0.02690190718498074,0
賈政,1,3,0.0,0.5121951219512195,0.02690190718498074,0
寶釵,1,18,0.0,0.5121951219512195,0.16141144310988442,0
迎春,1,5,0.0,0.5121951219512195,0.0448365119749679,0
北靜王,1,3,0.0,0.5121951219512195,0.02690190718498074,0
賈赦,1,1,0.0,0.5121951219512195,0.00896730239499358,0
尤氏,1,1,0.0,0.5121951219512195,0.00896730239499358,0
邢夫人,1,1,0.0,0.5121951219512195,0.00896730239499358,0
李紈,1,1,0.0,0.5121951219512195,0.00896730239499358,0
李嬤嬤,1,1,0.0,0.5121951219512195,0.00896730239499358,0
史湘雲,1,6,0.0,0.5121951219512195,0.05380381436996148,0
惜春,1,1,0.0,0.5121951219512195,0.00896730239499358,0
探春,1,1,0.0,0.5121951219512195,0.00896730239499358,0
